sample,MX1303_C5JC4ACXX_3_TAGGAT,MX1304_C5JC4ACXX_4_CCGGTG,MX1305_C5JC4ACXX_5_TGTTGG,MX1306_C5JC4ACXX_6_GTATAG,MX1307_C5JC4ACXX_7_AGCATC,MX1307_C5JC4ACXX_7_CAGGCC,MX1310_C5JC1ACXX_4_CTCTAC,MX1310_C5JC1ACXX_4_GGAACT,MX1310_C5JC1ACXX_4_GGACGG,MX1310_C5JC1ACXX_4_TGACAT,MX1355_C6RGTANXX_2_AAGCTA,MX1355_C6RGTANXX_2_ACATCG,MX1355_C6RGTANXX_2_CAAGTT,MX1355_C6RGTANXX_2_CATTCA,MX1355_C6RGTANXX_2_GGAACT,MX1356_C6RGTANXX_3_ATGGCA,MX1356_C6RGTANXX_3_CCTTGC,MX1356_C6RGTANXX_3_CGGCCT,MX1356_C6RGTANXX_3_GCGTGG,MX1356_C6RGTANXX_3_GCTGTA,MX1356_C6RGTANXX_3_GTATAG,MX1356_C6RGTANXX_3_TAGTTG,MX1356_C6RGTANXX_3_TGACAT,MX1357_C6RGTANXX_4_AATTAT,MX1357_C6RGTANXX_4_AGTCTT,MX1357_C6RGTANXX_4_CATGGG,MX1357_C6RGTANXX_4_GCCTAA,MX1357_C6RGTANXX_4_GTAGCC,MX1357_C6RGTANXX_4_TATCGT,MX1357_C6RGTANXX_4_TCTGAG
hsa-miR-6750-3p,0,0,0,0.051,0.038,0.064,0,0.024,0,0,0,0.035,0,0,0.09,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0.089
hsa-miR-6750-5p,0,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6751-3p,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6751-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6752-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6752-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6753-3p,0,0,0.034,0,0,0,0,0,0.025,0.056,0,0.035,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0.027,0
hsa-miR-6753-5p,0,0,0.069,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6754-3p,0.087,0,0.069,0.051,0,0.064,0,0.024,0.049,0,0,0,0,0,0,0,0.066,0,0,0.09,0,0,0.022,0,0.029,0,0,0,0.053,0
hsa-miR-6754-5p,0.087,0,0.069,0.051,0.038,0,0,0.024,0.074,0.056,0,0.07,0,0,0,0,0,0,0,0,0.07,0.295,0.022,0,0,0,0,0.057,0,0.089
